Name,Total
Duque,44859
Rodrigues de Souza,2900960
Balduino,1660
Belem,81081
Morales,1249
de Gois,2587177
Sant Anna,12573
Elisa,5834
Sant,925
Fernandez,1902
Prata,12665
Henrique Ribeiro,257350
do Socorro da Silva,2528064
de Fatima Rodrigues,2789248
Serpa,1781
Abadia,3186
Querino,920
Jacinto,10375
Milani,1115
Tolentino,1915
Martinho,5701
Severino,18293
Vasques,1440
Affonso,3119
Natal,40115
Proenca,2226
de Godoi,2586961
Luciano,24084
Vitoriano,1489
Loiola,1315
da Motta,1471709
Manoel,154958
Lage,2406
Palheta,651
Bahia,11796
Vilas Boas,3690
Batista dos Santos,1157091
Kruger,559
Garcez,2160
Henrique Lima,294027
Patrocinio,8692
Paula,82928
Santos da Silva,2635514
Frota,2698
do Livramento,633606
Jesus,110337
Bertoldo,1159
Moretti,1197
Benedito,62304
Martins da Silva,2153691
Dornelas,1232
Daniel,29635
Moro,1854
Stein,1988
Ribeiro dos Santos,1134723
Guilherme,26378
Escobar,1774
de Lourdes Pereira,2860631
Naves,3448
Wagner,11013
de Ramos,2642442
Ortega,1364
Zanella,640
do Rego,639616
Pestana,3372
Petry,446
Henrique Soares,274535
Baltazar,4233
Gomes de Oliveira,2855787
Montenegro,5945
Marcon,1433
Kuhn,360
Abrantes,3534
Ciriaco,1144
Cantanhede,846
Scherer,658
Mayer,1521
Azeredo,2704
Gondim,2153
Dornelles,893
de Lourdes Silva,3898672
Geraldo,59736
Zanetti,2909
Marques da Silva,2091728
Pedreira,7706
Dalla,1725
Henrique Gonçalves,173960
Vilhena,3133
Caixeta,1846
Sardinha,1575
Crisostomo,1018
Piedade,6197
Taborda,1147
Gurgel,3009
Romeiro,1382
da Guia,1466261
Simon,1032
Andre,96210
Portugal,6508
Henrique Martins,227890
Aprigio,1826
Silva dos Santos,2425029
David,17080
Justo,1755
Praxedes,1085
Batalha,2159
França,26840
Zimmermann,557
Duraes,982
Gontijo,2055
Firmo,1905
Limeira,19979
Policarpo,1061
Amador,3379
Pina,2996
das Gracas Silva,1743337
Izidio,785
de Fatima Oliveira,2757972
Frutuoso,1305
Favero,1671
Zago,941
Simas,1708
Lopez,965
Teotonio,3431
Vilar,12778
Froes,1855
Moreira da Silva,2099664
Roseno,392
Beraldo,3241
de Maria,3222372
Venceslau,4635
Prudente,25808
Conde,12295
Paschoal,4087
Fideles,371
Cassemiro,1025
Albino,14780
de Jesus da Silva,4227950
de Jesus Ferreira,2809744
Alvim,5640
Estrela,6324
Henrique Costa,287731
Longo,1763
Pavan,1650
Silva Santos,2247425
Alvarez,1356
Amarante,2461
Calazans,2439
Avelino,10494
Henrique Barbosa,294480
Camargos,2423
Thome,2048
Ferreira Lima,497341
Filgueira,1150
de Alvarenga,2595382
Nunes da Silva,2089179
Salazar,1382
Militao,1487
Pereira de Oliveira,3000756
Bruno,40959
do Socorro Silva,2132445
Castelo,23504
Eduardo,63520
Louzada,1758
Acosta,611
Portes,1083
Mamede,2126
Negreiros,2789
de Lourdes Ferreira,2790803
da Silva Oliveira,2404927
Catarino,1100
Rabello,2009
Nolasco,1236
Dias da Silva,2122479
Natividade,2775
Rebelo,2223
António,1
Calisto,789
Terto,410
Rosa de Jesus,2707478
Joaquim,104082
Manhaes,1354
