Name,Population
Mereles,"4,968"
Sandez,"4,967"
Casimiro,"4,963"
Ulloa,"4,955"
Carbajal,"4,947"
Orieta,"4,936"
Marchetti,"4,927"
Vizgarra,"4,910"
Chavarria,"4,897"
da Rosa,"4,897"
Junco,"4,890"
Batalla,"4,887"
Vieyra,"4,879"
Palermo,"4,874"
Corrales,"4,860"
Mareco,"4,860"
Zelarayan,"4,849"
Casado,"4,835"
Mujica,"4,835"
Mayorga,"4,830"
Soriano,"4,819"
de La Vega,"4,816"
Denis,"4,813"
Cosentino,"4,800"
Barrio,"4,791"
Cativa,"4,790"
Zerpa,"4,789"
Ormeño,"4,784"
Martinelli,"4,770"
Goñi,"4,756"
Grasso,"4,745"
Fabian,"4,729"
Caseres,"4,724"
Massa,"4,712"
Grillo,"4,710"
Giraudo,"4,708"
Olivieri,"4,704"
Belmonte,"4,702"
Conte,"4,698"
Pogonza,"4,696"
Caliva,"4,683"
Orrego,"4,677"
Talavera,"4,667"
Billordo,"4,663"
Retamal,"4,662"
de Lima,"4,655"
Coceres,"4,651"
Palomino,"4,643"
Samaniego,"4,642"
Piris,"4,641"
Velozo,"4,639"
Rico,"4,625"
Montaño,"4,601"
Ortigoza,"4,598"
Repetto,"4,593"
Lago,"4,583"
Martins,"4,582"
Maturano,"4,579"
Marini,"4,578"
Salvador,"4,576"
Rotela,"4,567"
Salerno,"4,528"
Aravena,"4,524"
Pons,"4,507"
Gongora,"4,501"
Villan,"4,498"
Galan,"4,485"
Pazos,"4,484"
Azcurra,"4,473"
Mayer,"4,470"
Weber,"4,470"
Saldaña,"4,467"
Trinidad,"4,467"
Pastor,"4,463"
Frank,"4,454"
Aciar,"4,444"
Guantay,"4,435"
Geronimo,"4,428"
Bargas,"4,419"
Fretes,"4,407"
Novoa,"4,407"
Abrego,"4,406"
Nunez,"4,405"
Marcial,"4,401"
Valdes,"4,385"
de La Cruz,"4,376"
Clemente,"4,374"
Olivero,"4,373"
Blasco,"4,359"
Uribe,"4,340"
Gonzales,"4,337"
Silveira,"4,334"
Verdun,"4,334"
Monte,"4,325"
Rocca,"4,324"
Hurtado,"4,306"
Cuesta,"4,297"
Porta,"4,289"
Saldaño,"4,289"
Puca,"4,278"
Lovera,"4,268"
Manzano,"4,268"
Tisera,"4,262"
Cena,"4,260"
Zavala,"4,249"
Ibarrola,"4,245"
Campero,"4,219"
Cayo,"4,217"
Ullua,"4,211"
Areco,"4,200"
Liendo,"4,198"
Ifran,"4,193"
Brites,"4,185"
Marconi,"4,185"
Benito,"4,180"
Muñiz,"4,177"
Santamaria,"4,174"
Chavero,"4,171"
Moro,"4,167"
Monge,"4,165"
Cravero,"4,162"
Bilbao,"4,153"
Yedro,"4,138"
Parisi,"4,136"
Traverso,"4,124"
Puente,"4,122"
Collado,"4,119"
Peñalva,"4,114"
Meyer,"4,109"
Michel,"4,107"
Trujillo,"4,107"
Cataldo,"4,105"
Leone,"4,104"
Arana,"4,099"
Fuente,"4,097"
Tarifa,"4,094"
Camino,"4,091"
Belen,"4,082"
Pallero,"4,081"
Freire,"4,080"
Ozan,"4,079"
Bonino,"4,078"
Almonacid,"4,072"
Barberis,"4,071"
Cancino,"4,071"
Fraga,"4,064"
Carpio,"4,058"
Pena,"4,053"
Banega,"4,050"
